City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,78.48,76,8,12.71,PF,1675563787
1,hobart,-42.8794,147.3294,76.05,45,20,6.91,AU,1675563619
2,ushuaia,-54.8,-68.3,51.46,76,40,6.91,AR,1675563750
3,arraial do cabo,-22.9661,-42.0278,76.33,91,17,7.47,BR,1675563645
4,nerang,-27.9833,153.3333,91.38,66,65,7.0,AU,1675563789
5,tual,-5.6667,132.75,80.31,82,100,17.22,ID,1675563790
6,lompoc,34.6391,-120.4579,60.01,84,75,8.01,US,1675563791
7,atuona,-9.8,-139.0333,79.02,77,31,17.92,PF,1675563792
8,bambous virieux,-20.3428,57.7575,79.05,83,40,4.61,MU,1675563792
9,yeppoon,-23.1333,150.7333,89.38,75,95,11.5,AU,1675563793
10,qaanaaq,77.484,-69.3632,-6.29,62,13,3.74,GL,1675563794
11,yellowknife,62.456,-114.3525,-19.68,76,20,0.0,CA,1675563794
12,jambi,-1.6,103.6167,76.98,91,94,3.8,ID,1675563795
13,tasiilaq,65.6145,-37.6368,26.76,94,100,38.23,GL,1675563796
14,paracuru,-3.41,-39.0306,81.1,86,11,11.41,BR,1675563796
15,ponta do sol,32.6667,-17.1,61.72,57,39,7.74,PT,1675563797
16,punta arenas,-53.15,-70.9167,53.71,82,40,24.16,CL,1675563798
17,torbay,47.6666,-52.7314,15.49,85,100,32.21,CA,1675563799
18,bethel,41.3712,-73.414,23.76,53,75,5.75,US,1675563793
19,lebu,-37.6167,-73.65,59.0,93,85,4.34,CL,1675563800
20,cape town,-33.9258,18.4232,70.88,88,75,13.8,ZA,1675563800
21,busselton,-33.65,115.3333,86.59,28,47,5.61,AU,1675563802
22,poitiers,46.5833,0.3333,47.25,77,100,10.36,FR,1675563654
23,saint george,37.1041,-113.5841,52.95,46,0,5.75,US,1675563803
24,puerto ayora,-0.7393,-90.3518,79.56,93,70,7.0,EC,1675563804
25,kalmunai,7.4167,81.8167,77.79,82,99,8.7,LK,1675563805
26,pisco,-13.7,-76.2167,71.65,94,40,3.44,PE,1675563805
27,provideniya,64.3833,-173.3,-0.04,89,100,10.6,RU,1675563666
28,san patricio,28.017,-97.5169,60.66,75,3,6.58,US,1675563807
29,albany,42.6001,-73.9662,17.22,54,44,1.01,US,1675563677
30,ambilobe,-13.2,49.05,72.9,96,94,2.28,MG,1675563808
31,kudahuvadhoo,2.6708,72.8944,79.61,66,98,2.95,MV,1675563809
32,kem,64.9555,34.5793,6.28,91,30,7.52,RU,1675563692
33,kruisfontein,-34.0033,24.7314,72.88,72,0,4.63,ZA,1675563811
34,kamenka,51.3223,42.7678,18.37,96,100,6.55,RU,1675563812
35,klaksvik,62.2266,-6.589,43.72,76,95,25.77,FO,1675563812
36,west wendover,40.7391,-114.0733,27.61,80,0,0.0,US,1675563813
37,hermanus,-34.4187,19.2345,69.8,94,71,5.61,ZA,1675563813
38,upernavik,72.7868,-56.1549,-10.03,99,99,3.02,GL,1675563814
39,vardenis,40.1827,45.7311,10.06,87,50,2.91,AM,1675563814
40,oum hadjer,13.2954,19.6966,70.92,11,22,9.48,TD,1675563815
41,bara,10.3744,10.7288,71.89,19,100,6.87,NG,1675563815
42,khatanga,71.9667,102.5,-40.38,100,51,4.83,RU,1675563816
43,ribeira grande,38.5167,-28.7,61.77,89,17,13.0,PT,1675563641
44,mataura,-46.1927,168.8643,61.34,99,100,5.28,NZ,1675563817
45,dikson,73.5069,80.5464,-8.3,99,100,3.94,RU,1675563817
46,college,64.8569,-147.8028,3.15,88,75,4.61,US,1675563818
47,bluff,-46.6,168.3333,58.84,97,100,4.74,NZ,1675563624
48,faridpur,23.6,89.8333,63.55,50,81,4.21,BD,1675563818
49,coalinga,36.1397,-120.3602,59.25,81,100,7.72,US,1675563819
50,clyde river,70.4692,-68.5914,-16.37,63,40,26.46,CA,1675563819
51,luwuk,-0.9516,122.7875,78.39,84,100,3.67,ID,1675563820
52,port alfred,-33.5906,26.891,75.18,70,100,9.93,ZA,1675563821
53,iqaluit,63.7506,-68.5145,-31.27,66,75,17.27,CA,1675563658
54,iracoubo,5.4802,-53.2011,76.89,88,100,14.85,GF,1675563822
55,husavik,66.0449,-17.3389,28.99,76,100,16.4,IS,1675563822
56,oytal,42.9057,73.2697,32.74,79,70,7.4,KZ,1675563823
57,mitsamiouli,-11.3847,43.2844,81.03,74,98,3.42,KM,1675563823
58,alamosa,37.4695,-105.87,33.78,25,0,0.0,US,1675563824
59,vaini,-21.2,-175.2,86.16,74,75,13.8,TO,1675563824
60,hilo,19.7297,-155.09,79.29,76,75,8.05,US,1675563627
61,harper,4.375,-7.7169,78.82,85,57,7.61,LR,1675563825
62,tsabong,-26.0217,22.401,70.72,79,37,7.78,BW,1675563826
63,tura,25.5198,90.2201,61.86,52,4,1.57,IN,1675563826
64,mahebourg,-20.4081,57.7,79.09,83,40,4.61,MU,1675563827
65,bandiagara,14.3501,-3.6104,69.06,14,58,10.71,ML,1675563827
66,vanavara,60.34,102.2797,-15.0,100,96,1.57,RU,1675563828
67,barrow,71.2906,-156.7887,-20.18,76,100,10.36,US,1675563595
68,saskylakh,71.9167,114.0833,-27.31,98,100,3.96,RU,1675563829
69,emerald,-23.5333,148.1667,86.34,56,86,9.17,AU,1675563829
70,stepnogorsk,52.3544,71.8869,-3.15,99,100,7.29,KZ,1675563830
